,experiment,hour,platform_os,browser,day_of_week,brand,response
0,exposed,8,5,Mobile Safari,Friday,known brand,0
1,control,15,5,Mobile Safari,Friday,known brand,0
2,control,15,5,Mobile Safari UI/WKWebView,Friday,known brand,0
3,control,3,5,Mobile Safari,Saturday,known brand,1
4,exposed,3,5,Mobile Safari,Sunday,known brand,1
5,exposed,5,5,Mobile Safari,Wednesday,known brand,0
6,control,14,5,Mobile Safari UI/WKWebView,Friday,known brand,0
7,control,12,5,Mobile Safari,Saturday,known brand,0
8,control,1,5,Mobile Safari,Monday,known brand,0
9,control,9,5,Mobile Safari,Thursday,known brand,1
10,control,15,5,Mobile Safari,Friday,known brand,0
11,control,15,5,Mobile Safari,Friday,known brand,0
12,control,11,5,Mobile Safari,Saturday,known brand,0
13,exposed,2,5,Mobile Safari,Thursday,known brand,0
14,control,5,5,Mobile Safari,Thursday,known brand,1
15,control,11,5,Chrome Mobile iOS,Saturday,known brand,1
16,control,17,5,Mobile Safari UI/WKWebView,Tuesday,known brand,0
